	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast
Tgm2	9443.26598752162	-0.137938124871622	0.154331710140775	-0.893776948015415	0.371441245317235	0.578136612017743	C57BL6J_F0_Control-BALBcJ_F0_Control
Cst3	8742.9820675313	-0.651386866753478	0.0959152617426958	-6.79127445328671	1.11147247172915e-11	3.42101406559526e-10	C57BL6J_F0_Control-BALBcJ_F0_Control
Pomgnt1	377.571607604502	-0.248524033564077	0.169310688721173	-1.46785790927444	0.142142823463862	0.305834530889117	C57BL6J_F0_Control-BALBcJ_F0_Control
Lamb2	405.840399027296	-1.83360180205587	0.183867507093089	-9.97240801838655	2.012883990333e-23	1.28556190849268e-21	C57BL6J_F0_Control-BALBcJ_F0_Control
Snx4	511.102408530873	-0.0124398246192211	0.153023714684283	-0.081293442946976	0.935208588502815	0.966222515810943	C57BL6J_F0_Control-BALBcJ_F0_Control
Tbc1d20	901.60673796507	-0.165448932534785	0.136138312398066	-1.21530030467114	0.224251575761906	0.415336896239547	C57BL6J_F0_Control-BALBcJ_F0_Control
M6pr	2582.80217426799	0.0501076005919823	0.107367156721495	0.466693932502643	0.64071887139808	0.789972559587336	C57BL6J_F0_Control-BALBcJ_F0_Control
Znhit2	129.339497668951	0.00535165072577535	0.290247969879261	0.0184382020932018	0.985289276753062	0.992672146317269	C57BL6J_F0_Control-BALBcJ_F0_Control
Sirt1	332.918767187623	0.238543469995349	0.202745960011668	1.17656337014863	0.23936982524293	0.433387748797971	C57BL6J_F0_Control-BALBcJ_F0_Control
Stat3	2225.92578943592	0.139928730970962	0.138369818898599	1.01126627240515	0.311889004098069	0.519521262205521	C57BL6J_F0_Control-BALBcJ_F0_Control
Fam162a	93.2613709801883	-0.183717273339206	0.264463393481009	-0.694679406934248	0.487256236293781	0.680578056306823	C57BL6J_F0_Control-BALBcJ_F0_Control
Mtfr1	421.590399985122	0.507737837783271	0.176166090795399	2.88215419602495	0.00394966399502651	0.0205640114523663	C57BL6J_F0_Control-BALBcJ_F0_Control
Polr2d	76.5939570636599	-0.356199597809216	0.294838641829006	-1.20811707583362	0.227002232397666	0.418409117146636	C57BL6J_F0_Control-BALBcJ_F0_Control
Hcfc2	185.360796715914	0.0635758204729157	0.212795681566593	0.298764617800856	0.765119649458992	0.870864369228406	C57BL6J_F0_Control-BALBcJ_F0_Control
Cops6	300.493039332551	-0.393129751156555	0.180887377903883	-2.17333987430261	0.0297547464935859	0.0993762793882153	C57BL6J_F0_Control-BALBcJ_F0_Control
Ankrd13a	1643.92188436776	-0.420359359985043	0.12230849642116	-3.43687783175395	0.000588460963816407	0.00429929916748231	C57BL6J_F0_Control-BALBcJ_F0_Control
Pik3cg	926.104770927394	0.0419055976874461	0.161351816212597	0.259715686325039	0.795083091811729	0.890344362309335	C57BL6J_F0_Control-BALBcJ_F0_Control
Cpd	1167.72144068758	-0.471956885455711	0.128695174947004	-3.66724615472227	0.000245176748683181	0.00204432630117681	C57BL6J_F0_Control-BALBcJ_F0_Control
Sec14l1	3246.80950305005	-0.0584579983540835	0.115386382401547	-0.506628227156379	0.612415698797613	0.7715536125736	C57BL6J_F0_Control-BALBcJ_F0_Control
Apip	73.053606860335	-0.1392502355619	0.282474794273505	-0.49296517206088	0.6220371963511	0.778842194549065	C57BL6J_F0_Control-BALBcJ_F0_Control
Inf2	2297.99349212725	0.739770023134614	0.113788808648734	6.50125466572274	7.9652855751792e-11	2.21985267811539e-09	C57BL6J_F0_Control-BALBcJ_F0_Control
Trio	1159.56438232314	0.0610455790308858	0.131674204049491	0.463610769258505	0.642926637254449	0.790630149687608	C57BL6J_F0_Control-BALBcJ_F0_Control
Mrpl40	128.052710643452	0.191949010175337	0.238408846407184	0.805125367904774	0.420747338259963	0.624318993305781	C57BL6J_F0_Control-BALBcJ_F0_Control
Glyr1	1583.82342103503	0.0723840718053836	0.116615545052267	0.620706885801042	0.534792498009471	0.71830524092965	C57BL6J_F0_Control-BALBcJ_F0_Control
Usp34	1456.74024999816	0.0654411316465165	0.125255746749263	0.522460113367225	0.601350010924751	0.762631305439932	C57BL6J_F0_Control-BALBcJ_F0_Control
Csgalnact2	434.299370525276	0.200267788453635	0.187973432467285	1.0654047533472	0.286692806680114	0.492075485338001	C57BL6J_F0_Control-BALBcJ_F0_Control
Inip	237.779152775135	0.209412074412207	0.234083716875049	0.894603337676787	0.370999167005101	0.578019261783712	C57BL6J_F0_Control-BALBcJ_F0_Control
Atf6b	1263.66379639465	-0.470672061611856	0.130087594211909	-3.61811642734468	0.000296754902229897	0.00239403112704203	C57BL6J_F0_Control-BALBcJ_F0_Control
Naxd	257.307601193548	-0.20240204766666	0.201875117985334	-1.00261017646248	0.316048983833212	0.523153220755451	C57BL6J_F0_Control-BALBcJ_F0_Control
Vps4a	450.278295275407	-0.14291214205698	0.159366734606936	-0.896750143055016	0.369852257355133	0.576831033856276	C57BL6J_F0_Control-BALBcJ_F0_Control
Ppp1r2	361.631695546155	-0.0869415141998251	0.1691168327956	-0.514091428763365	0.607188069709647	0.767148615167775	C57BL6J_F0_Control-BALBcJ_F0_Control
Zfp335	723.852183140555	0.094229439012833	0.141809598525161	0.66447856839616	0.506384061359783	0.696882861754929	C57BL6J_F0_Control-BALBcJ_F0_Control
Grn	35388.2704347585	-0.229260841802865	0.0950200706194162	-2.41276227546834	0.0158321420454272	0.0620652361310251	C57BL6J_F0_Control-BALBcJ_F0_Control
Alg2	319.981208172385	-0.312687421308263	0.187842085487369	-1.66462920434989	0.0959867551454137	0.233167192213772	C57BL6J_F0_Control-BALBcJ_F0_Control
Ankrd17	1464.39772107903	0.232813080941727	0.136587271059027	1.70450056682892	0.0882876102545343	0.219615788701964	C57BL6J_F0_Control-BALBcJ_F0_Control
Psmd2	1215.02082663607	-0.346891077079822	0.123598073298297	-2.80660586223396	0.00500664585773816	0.0252772950287913	C57BL6J_F0_Control-BALBcJ_F0_Control
Kcnk6	1686.38843014962	0.0103377300064887	0.132472708392396	0.0780366773801238	0.937798877607141	0.967631076415887	C57BL6J_F0_Control-BALBcJ_F0_Control
